phase,epoch,global_epoch,train_loss,val_loss,train_metric,val_metric,train_distill_loss,val_distill_loss
train,1,1,0.40404365439804235,0.2822595941168921,0.43853883982182545,0.32685756914256997,nan,nan
train,2,2,0.28652425961835043,0.2411560799394335,0.4504952914875548,0.5570236825597493,nan,nan
train,3,3,0.26690346580378865,0.2318446465900966,0.5289001233508211,0.6786099323979662,nan,nan
train,4,4,0.26127231485989627,0.22754542103835515,0.5762502691171191,0.7026984607833549,nan,nan
train,5,5,0.25662968079654536,0.2204693066222327,0.6087661275531021,0.7091384427466978,nan,nan
train,6,6,0.25118640764635436,0.21809113451412745,0.650743681650749,0.7161648887936088,nan,nan
train,7,7,0.24888012999174547,0.21659632240022933,0.6594615347977237,0.7257627809912311,nan,nan
train,8,8,0.24555040135675546,0.216171600988933,0.6769829562048774,0.7328758875519479,nan,nan
train,9,9,0.24338666334444162,0.2158903330564499,0.6844694249043787,0.7332950600603131,nan,nan
train,10,10,0.2431063670284894,0.21404691679137094,0.688149427015651,0.7386140536341927,nan,nan
train,11,11,0.2406453399025664,0.21454518820558274,0.6970692144415147,0.7455215458320757,nan,nan
train,12,12,0.23929918724663404,0.21178156776087625,0.7029568197071415,0.747721699084004,nan,nan
train,13,13,0.238829925960424,0.21225104800292424,0.7065153411971111,0.7490858192009712,nan,nan
train,14,14,0.23824619030465885,0.21137108547346933,0.7041247133506299,0.7513047753071714,nan,nan
train,15,15,0.23509550246657157,0.21175156959465571,0.7175854693554945,0.745939443989785,nan,nan
train,16,16,0.23476587083874917,0.21158103219100408,0.7159920254217232,0.7454862999353651,nan,nan
train,17,17,0.23640556268546045,0.21209082433155604,0.7113245526727398,0.7463960885365895,nan,nan
train,18,18,0.23376800119876862,0.2109034253018243,0.7211483486926765,0.7392525142282406,nan,nan
train,19,19,0.23241773825518938,0.210831880569458,0.7225122510573069,0.7460987042542805,nan,nan
train,20,20,0.23263222648172963,0.2147082622562136,0.721045373963599,0.7337088092020719,nan,nan
train,21,21,0.23254565316803602,0.20995057693549565,0.7216673489057087,0.7435254068217748,nan,nan
train,22,22,0.23122340562392255,0.21137260326317378,0.7236503717864528,0.7390823717219704,nan,nan
train,23,23,0.2311981743087574,0.21233001138482774,0.7209970020875822,0.744594855266404,nan,nan
train,24,24,0.231881104257642,0.2128586002758571,0.7240698584158042,0.7343993725500654,nan,nan
train,25,25,0.2299803340313386,0.20976196016584123,0.72853686127101,0.7415984071321828,nan,nan
train,26,26,0.23091502213964657,0.21008331647941045,0.7256124349379038,0.7377481593552654,nan,nan
train,27,27,0.23005759199054873,0.21021904902798788,0.728271018229036,0.7405235866769492,nan,nan
train,28,28,0.22893759608268738,0.21030373232705252,0.7285740220065495,0.7412839855277281,nan,nan
train,29,29,0.22891705741687696,0.21137647117887223,0.7311977324470029,0.7408423678160442,nan,nan
