phase,epoch,global_epoch,train_loss,val_loss,train_metric,val_metric,train_distill_loss,val_distill_loss
train,1,1,0.285018896181432,0.19907530630007386,0.6372633533914732,0.7649518469816065,nan,nan
train,2,2,0.20922534280116595,0.19378920830786228,0.7960684641591161,0.779250615786624,nan,nan
train,3,3,0.19890332819213943,0.19368426641449332,0.821644604190273,0.7875574325539988,nan,nan
train,4,4,0.19256469891184852,0.19149340130388737,0.836973213061031,0.793466862063462,nan,nan
train,5,5,0.1858904446874346,0.1923140469007194,0.8526165467475436,0.7892097618402875,nan,nan
train,6,6,0.18186498409698879,0.19047998450696468,0.8590334009198041,0.7922372142681008,nan,nan
train,7,7,0.17810330433504923,0.19124282011762261,0.8681606704019488,0.7922397033074394,nan,nan
train,8,8,0.17414059312570662,0.19647011533379555,0.8742118211506461,0.7965104534526014,nan,nan
train,9,9,0.17191622134238954,0.19264083728194237,0.8792336110564584,0.792512274974643,nan,nan
train,10,10,0.16899319519362752,0.19004283798858523,0.885240222302309,0.7987328742047111,nan,nan
train,11,11,0.16610532975386058,0.19303513737395406,0.8892274910673219,0.7918351986835224,nan,nan
train,12,12,0.16317093774439798,0.1929373238235712,0.8929486891587839,0.7988015031595164,nan,nan
train,13,13,0.16133778494974924,0.19198384089395404,0.898677800955669,0.7941676162484228,nan,nan
train,14,14,0.15734120612106625,0.19521967880427837,0.901672252770147,0.7977788459618321,nan,nan
train,15,15,0.15505387846912658,0.19248691154643893,0.90599661050386,0.798655861051582,nan,nan
train,16,16,0.15200660354088222,0.19732035649940372,0.9092462728329355,0.7955722841012376,nan,nan
train,17,17,0.1476618390944269,0.19473066739737988,0.9159546655983464,0.7989179620499348,nan,nan
train,18,18,0.1463154617637869,0.19503102311864495,0.9173424394443294,0.7934221712290704,nan,nan
train,19,19,0.14554329677706673,0.1959539414383471,0.9192236889131982,0.7945464505263753,nan,nan
train,20,20,0.14405760494252992,0.1938695735298097,0.9216691487842849,0.7987142940613793,nan,nan
train,21,21,0.1428283510345315,0.19578794250264764,0.9219255483952123,0.7959730993258005,nan,nan
train,22,22,0.14111251744722564,0.19859734224155545,0.9246717334442325,0.7942807851290952,nan,nan
train,23,23,0.14029670128273586,0.19615973252803087,0.9254941862631094,0.793764055514471,nan,nan
train,24,24,0.1380503149259658,0.1974062928929925,0.928847325150265,0.7954059759886722,nan,nan
train,25,25,0.13741116367635273,0.19579164683818817,0.9298208349059865,0.7955530679125324,nan,nan
train,26,26,0.1366275834540526,0.19727465324103832,0.9299949922115078,0.7951388703170563,nan,nan
train,27,27,0.13637020285167392,0.1972317835316062,0.9306841991413842,0.7941313107818675,nan,nan
train,28,28,0.1354955550105799,0.19873335817828774,0.9311460772898257,0.7953367874606334,nan,nan
train,29,29,0.13451821126398586,0.1994535201229155,0.9323376389659916,0.7962744794429844,nan,nan
train,30,30,0.13390637200976174,0.19883342739194632,0.9337765435690714,0.7947152139121085,nan,nan
train,31,31,0.13315896240491715,0.19872162444517016,0.9340818244449385,0.7938149010969885,nan,nan
train,32,32,0.13323926967051294,0.1998064173385501,0.9344513279162975,0.7933839492300025,nan,nan
