number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.7662337662337663,2026-06-21T14:22:39.858092,2026-06-21T14:28:30.149438,350.291346,"{""batch_size"": 64, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.001969837968877361, ""ema_decay"": 0.9715674721932405, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.42022300234864174, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0001238513729886094, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""pretrain_lr"": 0.0007766184280392891, ""tf_dropout"": 0.4329770563201687, ""tf_layers"": 3, ""transformer_lr"": 0.001716044502975482, ""weight_decay"": 1.9634341572933354e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.001969837968877361, ""ema_decay"": 0.9715674721932405, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.001716044502975482, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0007766184280392891, ""transformer_epochs"": 150, ""transformer_lr"": 0.001716044502975482, ""weight_decay"": 1.9634341572933354e-06}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.42022300234864174, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0001238513729886094, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""tf_dropout"": 0.4329770563201687, ""tf_layers"": 3}}"
1,COMPLETE,0.8540716040716041,2026-06-21T14:28:30.171426,2026-06-21T14:34:37.967477,367.796051,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.028155239206754137, ""ema_decay"": 0.9812403160964054, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.3176985004103839, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00014063366777718192, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""pretrain_lr"": 0.0008896916672592679, ""tf_dropout"": 0.25547091587579285, ""tf_layers"": 1, ""transformer_lr"": 0.0006470376604234771, ""weight_decay"": 9.4525713910723e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.028155239206754137, ""ema_decay"": 0.9812403160964054, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0006470376604234771, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0008896916672592679, ""transformer_epochs"": 150, ""transformer_lr"": 0.0006470376604234771, ""weight_decay"": 9.4525713910723e-06}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.3176985004103839, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00014063366777718192, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""tf_dropout"": 0.25547091587579285, ""tf_layers"": 1}}"
2,PRUNED,0.8051948051948051,2026-06-21T14:34:37.984690,2026-06-21T14:40:21.530168,343.545478,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.08195776360834474, ""ema_decay"": 0.965836943669017, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.4815132947852186, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0007148510793512986, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""pretrain_lr"": 0.0016855972264420173, ""tf_dropout"": 0.191519266196649, ""tf_layers"": 3, ""transformer_lr"": 0.00046184639800512974, ""weight_decay"": 1.0300196600986763e-05}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.08195776360834474, ""ema_decay"": 0.965836943669017, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00046184639800512974, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0016855972264420173, ""transformer_epochs"": 150, ""transformer_lr"": 0.00046184639800512974, ""weight_decay"": 1.0300196600986763e-05}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.4815132947852186, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0007148510793512986, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""tf_dropout"": 0.191519266196649, ""tf_layers"": 3}}"
3,COMPLETE,0.8416988416988417,2026-06-21T14:40:21.742246,2026-06-21T14:45:46.207819,324.465573,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.008273930572385131, ""ema_decay"": 0.9929896283156681, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.3289789744182446, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0002837863814617628, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""pretrain_lr"": 0.001596078083664173, ""tf_dropout"": 0.3688542189623515, ""tf_layers"": 1, ""transformer_lr"": 0.00031853289294255736, ""weight_decay"": 2.1898812429056903e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.008273930572385131, ""ema_decay"": 0.9929896283156681, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00031853289294255736, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.001596078083664173, ""transformer_epochs"": 150, ""transformer_lr"": 0.00031853289294255736, ""weight_decay"": 2.1898812429056903e-06}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.3289789744182446, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0002837863814617628, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""tf_dropout"": 0.3688542189623515, ""tf_layers"": 1}}"
4,COMPLETE,0.8474903474903475,2026-06-21T14:45:46.226338,2026-06-21T14:52:07.645223,381.418885,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.0022132762933407377, ""ema_decay"": 0.9746292175621544, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.42840632923085753, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0013696739838480055, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""pretrain_lr"": 0.0010816166071270568, ""tf_dropout"": 0.342571623863836, ""tf_layers"": 3, ""transformer_lr"": 0.000207700644741196, ""weight_decay"": 7.823766455329715e-05}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0022132762933407377, ""ema_decay"": 0.9746292175621544, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.000207700644741196, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0010816166071270568, ""transformer_epochs"": 150, ""transformer_lr"": 0.000207700644741196, ""weight_decay"": 7.823766455329715e-05}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.42840632923085753, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0013696739838480055, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.5, ""nhead"": 8, ""tf_dropout"": 0.342571623863836, ""tf_layers"": 3}}"
5,PRUNED,0.6890136890136891,2026-06-21T14:52:07.659062,2026-06-21T14:55:04.619141,176.960079,"{""batch_size"": 256, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.010705573922940692, ""ema_decay"": 0.988993840802369, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.49272399541785056, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0003865304288032154, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""pretrain_lr"": 0.000818992572769882, ""tf_dropout"": 0.44045466860674276, ""tf_layers"": 2, ""transformer_lr"": 0.001542244933269889, ""weight_decay"": 8.910289040644939e-05}","{""hparams"": {""batch_size"": 256, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.010705573922940692, ""ema_decay"": 0.988993840802369, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.001542244933269889, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.000818992572769882, ""transformer_epochs"": 150, ""transformer_lr"": 0.001542244933269889, ""weight_decay"": 8.910289040644939e-05}, ""model_kwargs"": {""dim_ff"": 576, ""gnn_dropout"": 0.49272399541785056, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0003865304288032154, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""tf_dropout"": 0.44045466860674276, ""tf_layers"": 2}}"
6,PRUNED,0.7465777465777466,2026-06-21T14:55:04.811682,2026-06-21T14:57:51.266470,166.454788,"{""batch_size"": 256, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0005396222561858817, ""ema_decay"": 0.9799743165654833, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.4539987106197222, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.000222120498838994, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""pretrain_lr"": 0.0005262974315108014, ""tf_dropout"": 0.12067268846744308, ""tf_layers"": 1, ""transformer_lr"": 0.0008505713108951798, ""weight_decay"": 0.00016356514014241648}","{""hparams"": {""batch_size"": 256, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0005396222561858817, ""ema_decay"": 0.9799743165654833, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.0008505713108951798, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0005262974315108014, ""transformer_epochs"": 150, ""transformer_lr"": 0.0008505713108951798, ""weight_decay"": 0.00016356514014241648}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.4539987106197222, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.000222120498838994, ""ih_num_prototypes"": 16, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 1.0, ""nhead"": 8, ""tf_dropout"": 0.12067268846744308, ""tf_layers"": 1}}"
7,PRUNED,0.7191997191997191,2026-06-21T14:57:51.422534,2026-06-21T15:03:03.084453,311.661919,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0009351274748420722, ""ema_decay"": 0.9656298058843943, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.3797009468794747, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0005918413104745495, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""pretrain_lr"": 0.0001237709051505434, ""tf_dropout"": 0.2498450458505885, ""tf_layers"": 1, ""transformer_lr"": 0.00012309520416236726, ""weight_decay"": 0.00011194902621864976}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.0009351274748420722, ""ema_decay"": 0.9656298058843943, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00012309520416236726, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0001237709051505434, ""transformer_epochs"": 150, ""transformer_lr"": 0.00012309520416236726, ""weight_decay"": 0.00011194902621864976}, ""model_kwargs"": {""dim_ff"": 256, ""gnn_dropout"": 0.3797009468794747, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0005918413104745495, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": true, ""info_nce_temperature"": 0.2, ""nhead"": 8, ""tf_dropout"": 0.2498450458505885, ""tf_layers"": 1}}"
8,PRUNED,0.689013689013689,2026-06-21T15:03:03.228465,2026-06-21T15:05:52.229605,169.00114,"{""batch_size"": 256, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.0032094896104078357, ""ema_decay"": 0.9742265949304265, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.37440361715855663, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0014024125070550074, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""pretrain_lr"": 0.0001314201249760668, ""tf_dropout"": 0.4433651007372047, ""tf_layers"": 3, ""transformer_lr"": 0.00026767168451269265, ""weight_decay"": 0.00023380534127606173}","{""hparams"": {""batch_size"": 256, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.0032094896104078357, ""ema_decay"": 0.9742265949304265, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00026767168451269265, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.0001314201249760668, ""transformer_epochs"": 150, ""transformer_lr"": 0.00026767168451269265, ""weight_decay"": 0.00023380534127606173}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.37440361715855663, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0014024125070550074, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 64, ""ih_symmetric"": false, ""info_nce_temperature"": 0.2, ""nhead"": 4, ""tf_dropout"": 0.4433651007372047, ""tf_layers"": 3}}"
9,PRUNED,0.7625482625482626,2026-06-21T15:05:52.400129,2026-06-21T15:09:17.501863,205.101734,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.0007392274977341989, ""ema_decay"": 0.9975240625086743, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.3169675428170384, ""gnn_hidden"": 384, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0019880193364014637, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""pretrain_lr"": 0.00010370825721816744, ""tf_dropout"": 0.4251198269030011, ""tf_layers"": 2, ""transformer_lr"": 0.00030740991330836445, ""weight_decay"": 0.0007756532531954863}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0007392274977341989, ""ema_decay"": 0.9975240625086743, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 150, ""lr"": 0.00030740991330836445, ""num_epochs"": 150, ""patience"": 10, ""pretrain_lr"": 0.00010370825721816744, ""transformer_epochs"": 150, ""transformer_lr"": 0.00030740991330836445, ""weight_decay"": 0.0007756532531954863}, ""model_kwargs"": {""dim_ff"": 1152, ""gnn_dropout"": 0.3169675428170384, ""gnn_hidden"": 384, ""gnn_layers"": 2, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0019880193364014637, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""info_nce_temperature"": 1.0, ""nhead"": 4, ""tf_dropout"": 0.4251198269030011, ""tf_layers"": 2}}"
