number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.7706538808880756,2026-05-24T18:45:00.769422,2026-05-24T21:57:42.557562,11561.78814,"{""batch_size"": 64, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0050225633119947675, ""ema_decay"": 0.9896114700577066, ""gnn_dropout"": 0.37050175528444396, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""nhead"": 4, ""pretrain_lr"": 0.002465969117210482, ""tf_dropout"": 0.3829770563201687, ""tf_layers"": 3, ""transformer_lr"": 0.000319861718220356, ""weight_decay"": 0.0019924621034349893}","{""hparams"": {""batch_size"": 64, ""distill_weight"": 0.0050225633119947675, ""ema_decay"": 0.9896114700577066, ""gcn_pretrain_epochs"": 40, ""lr"": 0.000319861718220356, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.002465969117210482, ""transformer_epochs"": 60, ""transformer_lr"": 0.000319861718220356, ""weight_decay"": 0.0019924621034349893}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.37050175528444396, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""nhead"": 4, ""tf_dropout"": 0.3829770563201687, ""tf_layers"": 3}}"
1,COMPLETE,0.7887247690229954,2026-05-24T21:57:42.592644,2026-05-25T01:31:39.922438,12837.329794,"{""batch_size"": 128, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.0752317574354701, ""ema_decay"": 0.9502705837390565, ""gnn_dropout"": 0.3981350279592919, ""gnn_hidden"": 192, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00026471141828218194, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 3.106296006733529e-05, ""tf_dropout"": 0.12394178221021082, ""tf_layers"": 2, ""transformer_lr"": 0.0009708210658008553, ""weight_decay"": 0.00048438278642785697}","{""hparams"": {""batch_size"": 128, ""distill_weight"": 0.0752317574354701, ""ema_decay"": 0.9502705837390565, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0009708210658008553, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 3.106296006733529e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.0009708210658008553, ""weight_decay"": 0.00048438278642785697}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.3981350279592919, ""gnn_hidden"": 192, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.00026471141828218194, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.12394178221021082, ""tf_layers"": 2}}"
2,COMPLETE,0.802452195853509,2026-05-25T01:31:39.947707,2026-05-25T05:54:20.453947,15760.50624,"{""batch_size"": 128, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.0046422313960206695, ""ema_decay"": 0.9537720155816108, ""gnn_dropout"": 0.24890411118369216, ""gnn_hidden"": 256, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.003355151022721484, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 8, ""pretrain_lr"": 3.687744286155103e-05, ""tf_dropout"": 0.3418424713352256, ""tf_layers"": 1, ""transformer_lr"": 0.001770729418560415, ""weight_decay"": 0.00042378240651928307}","{""hparams"": {""batch_size"": 128, ""distill_weight"": 0.0046422313960206695, ""ema_decay"": 0.9537720155816108, ""gcn_pretrain_epochs"": 40, ""lr"": 0.001770729418560415, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 3.687744286155103e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.001770729418560415, ""weight_decay"": 0.00042378240651928307}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.24890411118369216, ""gnn_hidden"": 256, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.003355151022721484, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 8, ""tf_dropout"": 0.3418424713352256, ""tf_layers"": 1}}"
3,PRUNED,0.7731921037702478,2026-05-25T05:54:20.475015,2026-05-25T08:23:47.828006,8967.352991,"{""batch_size"": 64, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.01434430498924396, ""ema_decay"": 0.979868652365015, ""gnn_dropout"": 0.3427040088620429, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.07715105777813053, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 1.2341656119145207e-05, ""tf_dropout"": 0.09402076981107071, ""tf_layers"": 1, ""transformer_lr"": 4.204315283834702e-05, ""weight_decay"": 9.781938706376207e-06}","{""hparams"": {""batch_size"": 64, ""distill_weight"": 0.01434430498924396, ""ema_decay"": 0.979868652365015, ""gcn_pretrain_epochs"": 40, ""lr"": 4.204315283834702e-05, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 1.2341656119145207e-05, ""transformer_epochs"": 60, ""transformer_lr"": 4.204315283834702e-05, ""weight_decay"": 9.781938706376207e-06}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.3427040088620429, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.07715105777813053, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.09402076981107071, ""tf_layers"": 1}}"
4,PRUNED,0.7004460943781078,2026-05-25T08:23:47.973289,2026-05-25T10:48:29.699341,8681.726052,"{""batch_size"": 128, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.0039222152370481465, ""ema_decay"": 0.9929896283156681, ""gnn_dropout"": 0.4024609963326454, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0014461256820152153, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 4, ""pretrain_lr"": 0.0019524423350212705, ""tf_dropout"": 0.19711325308770128, ""tf_layers"": 3, ""transformer_lr"": 0.0020911913076641546, ""weight_decay"": 2.4806254358273255e-06}","{""hparams"": {""batch_size"": 128, ""distill_weight"": 0.0039222152370481465, ""ema_decay"": 0.9929896283156681, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0020911913076641546, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.0019524423350212705, ""transformer_epochs"": 60, ""transformer_lr"": 0.0020911913076641546, ""weight_decay"": 2.4806254358273255e-06}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.4024609963326454, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0014461256820152153, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 4, ""tf_dropout"": 0.19711325308770128, ""tf_layers"": 3}}"
5,COMPLETE,0.8047780578603648,2026-05-25T10:48:29.854288,2026-05-25T14:27:12.796554,13122.942266,"{""batch_size"": 128, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.02030930880191154, ""ema_decay"": 0.9822230317227169, ""gnn_dropout"": 0.3848956557729706, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.013694231460024376, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""nhead"": 8, ""pretrain_lr"": 0.0012694902219599024, ""tf_dropout"": 0.4088441039810308, ""tf_layers"": 3, ""transformer_lr"": 3.869855575652288e-05, ""weight_decay"": 0.00018148985808248295}","{""hparams"": {""batch_size"": 128, ""distill_weight"": 0.02030930880191154, ""ema_decay"": 0.9822230317227169, ""gcn_pretrain_epochs"": 40, ""lr"": 3.869855575652288e-05, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.0012694902219599024, ""transformer_epochs"": 60, ""transformer_lr"": 3.869855575652288e-05, ""weight_decay"": 0.00018148985808248295}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.3848956557729706, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.013694231460024376, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": false, ""nhead"": 8, ""tf_dropout"": 0.4088441039810308, ""tf_layers"": 3}}"
6,COMPLETE,0.8117933919554429,2026-05-25T14:27:12.833817,2026-05-25T17:36:31.018058,11358.184241,"{""batch_size"": 64, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.02049877231912614, ""ema_decay"": 0.9841054600370737, ""gnn_dropout"": 0.45766508659374183, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.001429858909444399, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 0.0020843415633790456, ""tf_dropout"": 0.1280971951192178, ""tf_layers"": 2, ""transformer_lr"": 0.0012834198135551096, ""weight_decay"": 8.631087200656353e-05}","{""hparams"": {""batch_size"": 64, ""distill_weight"": 0.02049877231912614, ""ema_decay"": 0.9841054600370737, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0012834198135551096, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.0020843415633790456, ""transformer_epochs"": 60, ""transformer_lr"": 0.0012834198135551096, ""weight_decay"": 8.631087200656353e-05}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.45766508659374183, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.001429858909444399, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.1280971951192178, ""tf_layers"": 2}}"
7,PRUNED,0.7843487499078691,2026-05-25T17:36:31.039820,2026-05-25T20:09:09.017078,9157.977258,"{""batch_size"": 128, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.01591099746037091, ""ema_decay"": 0.9562259651199423, ""gnn_dropout"": 0.4161178377941992, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0007238086291181397, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 4, ""pretrain_lr"": 7.802538020535496e-05, ""tf_dropout"": 0.3740453578716723, ""tf_layers"": 3, ""transformer_lr"": 0.00029078073351332666, ""weight_decay"": 0.0007249063325290251}","{""hparams"": {""batch_size"": 128, ""distill_weight"": 0.01591099746037091, ""ema_decay"": 0.9562259651199423, ""gcn_pretrain_epochs"": 40, ""lr"": 0.00029078073351332666, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 7.802538020535496e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.00029078073351332666, ""weight_decay"": 0.0007249063325290251}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.4161178377941992, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0007238086291181397, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 4, ""tf_dropout"": 0.3740453578716723, ""tf_layers"": 3}}"
8,PRUNED,0.7734107339463666,2026-05-25T20:09:09.169144,2026-05-25T22:53:45.320620,9876.151476,"{""batch_size"": 64, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.0010792445123717635, ""ema_decay"": 0.987134459412754, ""gnn_dropout"": 0.42674110017519773, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.016356514014241656, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 4, ""pretrain_lr"": 7.617061961171449e-05, ""tf_dropout"": 0.3680744779074815, ""tf_layers"": 1, ""transformer_lr"": 0.00023615775201572917, ""weight_decay"": 7.2675945245763955e-06}","{""hparams"": {""batch_size"": 64, ""distill_weight"": 0.0010792445123717635, ""ema_decay"": 0.987134459412754, ""gcn_pretrain_epochs"": 40, ""lr"": 0.00023615775201572917, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 7.617061961171449e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.00023615775201572917, ""weight_decay"": 7.2675945245763955e-06}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.42674110017519773, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.016356514014241656, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 4, ""tf_dropout"": 0.3680744779074815, ""tf_layers"": 1}}"
9,PRUNED,0.7695440569224233,2026-05-25T22:53:45.460096,2026-05-26T01:32:21.552618,9516.092522,"{""batch_size"": 64, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0014441171774447511, ""ema_decay"": 0.9595937656046755, ""gnn_dropout"": 0.3130622968512546, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0023700563480372563, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 0.0017484906656547842, ""tf_dropout"": 0.2963400392208866, ""tf_layers"": 2, ""transformer_lr"": 0.0002246771704222143, ""weight_decay"": 0.002198751452229721}","{""hparams"": {""batch_size"": 64, ""distill_weight"": 0.0014441171774447511, ""ema_decay"": 0.9595937656046755, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0002246771704222143, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.0017484906656547842, ""transformer_epochs"": 60, ""transformer_lr"": 0.0002246771704222143, ""weight_decay"": 0.002198751452229721}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.3130622968512546, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0023700563480372563, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.2963400392208866, ""tf_layers"": 2}}"
