number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.7710149362538363,2026-06-13T10:33:09.660740,2026-06-13T14:52:22.408744,15552.748004,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0019090338932926938, ""ema_decay"": 0.9896114700577066, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.37050175528444396, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""nhead"": 4, ""pretrain_lr"": 0.002465969117210482, ""tf_dropout"": 0.3829770563201687, ""tf_layers"": 3, ""transformer_lr"": 0.000319861718220356, ""weight_decay"": 0.0019924621034349893}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.0019090338932926938, ""ema_decay"": 0.9896114700577066, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 40, ""lr"": 0.000319861718220356, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.002465969117210482, ""transformer_epochs"": 60, ""transformer_lr"": 0.000319861718220356, ""weight_decay"": 0.0019924621034349893}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.37050175528444396, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""nhead"": 4, ""tf_dropout"": 0.3829770563201687, ""tf_layers"": 3}}"
1,COMPLETE,0.8037023318205897,2026-06-13T14:52:22.433509,2026-06-13T18:30:50.833865,13108.400356,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.005194929407101736, ""ema_decay"": 0.9556775839167313, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.5227745237038852, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.02795015916508337, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 7.72614892774646e-05, ""tf_dropout"": 0.0853970008207678, ""tf_layers"": 3, ""transformer_lr"": 0.0005636004750527737, ""weight_decay"": 1.809098578331445e-06}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.005194929407101736, ""ema_decay"": 0.9556775839167313, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0005636004750527737, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 7.72614892774646e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.0005636004750527737, ""weight_decay"": 1.809098578331445e-06}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.5227745237038852, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.02795015916508337, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.0853970008207678, ""tf_layers"": 3}}"
2,COMPLETE,0.7818908109025139,2026-06-13T18:30:50.855502,2026-06-13T22:02:07.760488,12676.904986,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.0010375213943059785, ""ema_decay"": 0.9553925443018562, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.3352297732218974, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.00036283583803549196, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 6.133850220174178e-05, ""tf_dropout"": 0.0625716742746937, ""tf_layers"": 1, ""transformer_lr"": 0.0016254621692585519, ""weight_decay"": 0.0013056239412040649}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0010375213943059785, ""ema_decay"": 0.9553925443018562, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0016254621692585519, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 6.133850220174178e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.0016254621692585519, ""weight_decay"": 0.0013056239412040649}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.3352297732218974, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.00036283583803549196, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.0625716742746937, ""tf_layers"": 1}}"
3,COMPLETE,0.7884530802743103,2026-06-13T22:02:07.780902,2026-06-14T01:24:09.300686,12121.519784,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.015077921840166913, ""ema_decay"": 0.9591394070095928, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.5331012827239501, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.007887102624766478, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 8, ""pretrain_lr"": 6.231765707605574e-05, ""tf_dropout"": 0.16393619775098706, ""tf_layers"": 1, ""transformer_lr"": 0.000370962416561073, ""weight_decay"": 0.0008025055812936094}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.015077921840166913, ""ema_decay"": 0.9591394070095928, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 40, ""lr"": 0.000370962416561073, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 6.231765707605574e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.000370962416561073, ""weight_decay"": 0.0008025055812936094}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.5331012827239501, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.007887102624766478, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 8, ""tf_dropout"": 0.16393619775098706, ""tf_layers"": 1}}"
4,COMPLETE,0.7952310694945304,2026-06-14T01:24:09.331764,2026-06-14T05:08:32.989250,13463.657486,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.005607308700117544, ""ema_decay"": 0.983902864686942, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.21607373247182005, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.00010655924993232583, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 0.00022870735579779385, ""tf_dropout"": 0.2618602313424026, ""tf_layers"": 2, ""transformer_lr"": 1.7838458221751278e-05, ""weight_decay"": 3.6236737796861424e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.005607308700117544, ""ema_decay"": 0.983902864686942, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 40, ""lr"": 1.7838458221751278e-05, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.00022870735579779385, ""transformer_epochs"": 60, ""transformer_lr"": 1.7838458221751278e-05, ""weight_decay"": 3.6236737796861424e-06}, ""model_kwargs"": {""dim_ff"": 1024, ""gnn_dropout"": 0.21607373247182005, ""gnn_hidden"": 256, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.00010655924993232583, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.2618602313424026, ""tf_layers"": 2}}"
5,PRUNED,0.7738258878762189,2026-06-14T05:08:33.009651,2026-06-14T08:14:24.232131,11151.22248,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.026010582378540023, ""ema_decay"": 0.9772832618604591, ""ema_decay_init"": 0.9, ""gnn_dropout"": 0.5014209498297011, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.03622666594728668, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 2.6293844204544067e-05, ""tf_dropout"": 0.28076155385054363, ""tf_layers"": 2, ""transformer_lr"": 5.362726012764433e-05, ""weight_decay"": 1.2646671570022426e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.026010582378540023, ""ema_decay"": 0.9772832618604591, ""ema_decay_init"": 0.9, ""gcn_pretrain_epochs"": 40, ""lr"": 5.362726012764433e-05, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 2.6293844204544067e-05, ""transformer_epochs"": 60, ""transformer_lr"": 5.362726012764433e-05, ""weight_decay"": 1.2646671570022426e-05}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.5014209498297011, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.03622666594728668, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.28076155385054363, ""tf_layers"": 2}}"
6,PRUNED,0.7871163226579476,2026-06-14T08:14:24.418135,2026-06-14T11:35:37.333777,12072.915642,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.04685521537357966, ""ema_decay"": 0.9541820257846946, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.4901825433610467, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.001203848744682296, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 0.0003491204084552829, ""tf_dropout"": 0.3693180715867101, ""tf_layers"": 2, ""transformer_lr"": 2.064164461253111e-05, ""weight_decay"": 5.6290600532268344e-06}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.04685521537357966, ""ema_decay"": 0.9541820257846946, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 40, ""lr"": 2.064164461253111e-05, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.0003491204084552829, ""transformer_epochs"": 60, ""transformer_lr"": 2.064164461253111e-05, ""weight_decay"": 5.6290600532268344e-06}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.4901825433610467, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.001203848744682296, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.3693180715867101, ""tf_layers"": 2}}"
7,PRUNED,0.7789543499957698,2026-06-14T11:35:37.567350,2026-06-14T13:54:53.534705,8355.967355,"{""batch_size"": 128, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.007277711961480496, ""ema_decay"": 0.9712587308126607, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.28402882498642146, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.012911407200549929, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 2.685604360039528e-05, ""tf_dropout"": 0.2696906658824482, ""tf_layers"": 1, ""transformer_lr"": 0.00014948102613374672, ""weight_decay"": 4.429133367348855e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.007277711961480496, ""ema_decay"": 0.9712587308126607, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 40, ""lr"": 0.00014948102613374672, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 2.685604360039528e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.00014948102613374672, ""weight_decay"": 4.429133367348855e-05}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.28402882498642146, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.012911407200549929, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 128, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.2696906658824482, ""tf_layers"": 1}}"
8,COMPLETE,0.7831714310510249,2026-06-14T13:54:53.697679,2026-06-14T16:46:30.604779,10296.9071,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.00717835239031108, ""ema_decay"": 0.9586945376452064, ""ema_decay_init"": 0.98, ""gnn_dropout"": 0.2746764667929349, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.012308680425397657, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 4.996131196762739e-05, ""tf_dropout"": 0.4265859235106101, ""tf_layers"": 2, ""transformer_lr"": 0.0003613829791328161, ""weight_decay"": 0.0006220146604139088}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.00717835239031108, ""ema_decay"": 0.9586945376452064, ""ema_decay_init"": 0.98, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0003613829791328161, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 4.996131196762739e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.0003613829791328161, ""weight_decay"": 0.0006220146604139088}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.2746764667929349, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.012308680425397657, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.4265859235106101, ""tf_layers"": 2}}"
9,PRUNED,0.7769338950763514,2026-06-14T16:46:30.622370,2026-06-14T19:59:17.480946,11566.858576,"{""batch_size"": 64, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.0014703809255690555, ""ema_decay"": 0.9873140209541561, ""ema_decay_init"": 0.99, ""gnn_dropout"": 0.2440223204637753, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.004452322832535513, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 2.2605167783116893e-05, ""tf_dropout"": 0.4121527905677055, ""tf_layers"": 1, ""transformer_lr"": 0.00012408651559764496, ""weight_decay"": 2.5530317220089544e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0014703809255690555, ""ema_decay"": 0.9873140209541561, ""ema_decay_init"": 0.99, ""gcn_pretrain_epochs"": 40, ""lr"": 0.00012408651559764496, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 2.2605167783116893e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.00012408651559764496, ""weight_decay"": 2.5530317220089544e-06}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.2440223204637753, ""gnn_hidden"": 128, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.004452322832535513, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.4121527905677055, ""tf_layers"": 1}}"
