number,state,value,datetime_start,datetime_complete,duration_seconds,params_json,user_attrs_json
0,COMPLETE,0.7744344417313428,2026-05-29T15:21:42.391748,2026-05-29T19:06:10.272897,13467.881149,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0050225633119947675, ""ema_decay"": 0.9896114700577066, ""gnn_dropout"": 0.37050175528444396, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""nhead"": 4, ""pretrain_lr"": 0.002465969117210482, ""tf_dropout"": 0.3829770563201687, ""tf_layers"": 3, ""transformer_lr"": 0.000319861718220356, ""weight_decay"": 0.0019924621034349893}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0050225633119947675, ""ema_decay"": 0.9896114700577066, ""gcn_pretrain_epochs"": 40, ""lr"": 0.000319861718220356, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.002465969117210482, ""transformer_epochs"": 60, ""transformer_lr"": 0.000319861718220356, ""weight_decay"": 0.0019924621034349893}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.37050175528444396, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.000137832374550072, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": false, ""nhead"": 4, ""tf_dropout"": 0.3829770563201687, ""tf_layers"": 3}}"
1,COMPLETE,0.7979967698795107,2026-05-29T19:06:10.309092,2026-05-29T22:30:36.535204,12266.226112,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.05952730245823973, ""ema_decay"": 0.9857213512340084, ""gnn_dropout"": 0.34601962570447586, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.09133995846860977, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": false, ""nhead"": 8, ""pretrain_lr"": 0.0005636004750527737, ""tf_dropout"": 0.42579957662567564, ""tf_layers"": 3, ""transformer_lr"": 0.0008183591298101358, ""weight_decay"": 0.0006846336881836966}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.05952730245823973, ""ema_decay"": 0.9857213512340084, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0008183591298101358, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.0005636004750527737, ""transformer_epochs"": 60, ""transformer_lr"": 0.0008183591298101358, ""weight_decay"": 0.0006846336881836966}, ""model_kwargs"": {""dim_ff"": 1152, ""gnn_dropout"": 0.34601962570447586, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.09133995846860977, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": false, ""nhead"": 8, ""tf_dropout"": 0.42579957662567564, ""tf_layers"": 3}}"
2,PRUNED,0.7736554297952444,2026-05-29T22:30:36.565645,2026-05-30T01:23:30.901961,10374.336316,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.07067625933120901, ""ema_decay"": 0.9927015689191981, ""gnn_dropout"": 0.49924573415934703, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.00017019223026554014, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 0.00037069600706460563, ""tf_dropout"": 0.354314019446759, ""tf_layers"": 3, ""transformer_lr"": 5.220949381122229e-05, ""weight_decay"": 0.0006455539579314902}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.07067625933120901, ""ema_decay"": 0.9927015689191981, ""gcn_pretrain_epochs"": 40, ""lr"": 5.220949381122229e-05, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.00037069600706460563, ""transformer_epochs"": 60, ""transformer_lr"": 5.220949381122229e-05, ""weight_decay"": 0.0006455539579314902}, ""model_kwargs"": {""dim_ff"": 512, ""gnn_dropout"": 0.49924573415934703, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.00017019223026554014, ""ih_num_prototypes"": 8, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.354314019446759, ""tf_layers"": 3}}"
3,COMPLETE,0.803673690052778,2026-05-30T01:23:31.098705,2026-05-30T04:49:49.924304,12378.825599,"{""batch_size"": 64, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.0352049762550713, ""ema_decay"": 0.9618607083040634, ""gnn_dropout"": 0.10312845873903582, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0006853925708853063, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 4, ""pretrain_lr"": 0.0027642396337073934, ""tf_dropout"": 0.09794614693347313, ""tf_layers"": 1, ""transformer_lr"": 0.0017778074879158702, ""weight_decay"": 5.033691506179549e-05}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.0352049762550713, ""ema_decay"": 0.9618607083040634, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0017778074879158702, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.0027642396337073934, ""transformer_epochs"": 60, ""transformer_lr"": 0.0017778074879158702, ""weight_decay"": 5.033691506179549e-05}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.10312845873903582, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0006853925708853063, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 4, ""tf_dropout"": 0.09794614693347313, ""tf_layers"": 1}}"
4,PRUNED,0.7849469298825462,2026-05-30T04:49:49.946948,2026-05-30T07:36:58.743498,10028.79655,"{""batch_size"": 128, ""cross_distill_weight"": 0.02, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.04682155064038321, ""ema_decay"": 0.9671112691560203, ""gnn_dropout"": 0.11834881369964377, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0005315656057158323, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 6.915409486982811e-05, ""tf_dropout"": 0.2548372233197124, ""tf_layers"": 1, ""transformer_lr"": 1.7006966059793952e-05, ""weight_decay"": 0.0001589902650976323}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.02, ""distill_weight"": 0.04682155064038321, ""ema_decay"": 0.9671112691560203, ""gcn_pretrain_epochs"": 40, ""lr"": 1.7006966059793952e-05, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 6.915409486982811e-05, ""transformer_epochs"": 60, ""transformer_lr"": 1.7006966059793952e-05, ""weight_decay"": 0.0001589902650976323}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.11834881369964377, ""gnn_hidden"": 256, ""gnn_layers"": 2, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.0005315656057158323, ""ih_num_prototypes"": 4, ""ih_proj_dim"": 0, ""ih_rank"": 32, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.2548372233197124, ""tf_layers"": 1}}"
5,PRUNED,0.7739742534135606,2026-05-30T07:36:58.889705,2026-05-30T10:23:01.689601,9962.799896,"{""batch_size"": 128, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.004426552586681476, ""ema_decay"": 0.9854001536478137, ""gnn_dropout"": 0.10227771273079841, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.00782376645532971, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 8, ""pretrain_lr"": 3.0453734341095454e-05, ""tf_dropout"": 0.3107845038010402, ""tf_layers"": 3, ""transformer_lr"": 0.000930773421725595, ""weight_decay"": 5.1587412054042674e-05}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.004426552586681476, ""ema_decay"": 0.9854001536478137, ""gcn_pretrain_epochs"": 40, ""lr"": 0.000930773421725595, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 3.0453734341095454e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.000930773421725595, ""weight_decay"": 5.1587412054042674e-05}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.10227771273079841, ""gnn_hidden"": 384, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.00782376645532971, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 128, ""ih_rank"": 32, ""ih_symmetric"": false, ""nhead"": 8, ""tf_dropout"": 0.3107845038010402, ""tf_layers"": 3}}"
6,PRUNED,0.7613155836531393,2026-05-30T10:23:01.839108,2026-05-30T13:12:23.948404,10162.109296,"{""batch_size"": 128, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 3, ""distill_weight"": 0.06869120772681417, ""ema_decay"": 0.9745742984396728, ""gnn_dropout"": 0.5336289896901638, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0007599334001601102, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 0.00018478091982292416, ""tf_dropout"": 0.39045466860674277, ""tf_layers"": 2, ""transformer_lr"": 0.0010113133051262834, ""weight_decay"": 0.0014977803754075486}","{""hparams"": {""batch_size"": 128, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.06869120772681417, ""ema_decay"": 0.9745742984396728, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0010113133051262834, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.00018478091982292416, ""transformer_epochs"": 60, ""transformer_lr"": 0.0010113133051262834, ""weight_decay"": 0.0014977803754075486}, ""model_kwargs"": {""dim_ff"": 576, ""gnn_dropout"": 0.5336289896901638, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""soft"", ""ih_diversity_weight"": 0.0007599334001601102, ""ih_num_prototypes"": 3, ""ih_proj_dim"": 256, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.39045466860674277, ""tf_layers"": 2}}"
7,PRUNED,0.7676715575184677,2026-05-30T13:12:24.120400,2026-05-30T16:05:51.665186,10407.544786,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.008729974837029704, ""ema_decay"": 0.9841027360985912, ""gnn_dropout"": 0.228943563457728, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0006493767776722168, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""pretrain_lr"": 0.0011771291784507558, ""tf_dropout"": 0.3790402242638633, ""tf_layers"": 1, ""transformer_lr"": 0.0001222884488943007, ""weight_decay"": 0.0022245658374568196}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.008729974837029704, ""ema_decay"": 0.9841027360985912, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0001222884488943007, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 0.0011771291784507558, ""transformer_epochs"": 60, ""transformer_lr"": 0.0001222884488943007, ""weight_decay"": 0.0022245658374568196}, ""model_kwargs"": {""dim_ff"": 256, ""gnn_dropout"": 0.228943563457728, ""gnn_hidden"": 128, ""gnn_layers"": 3, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.0006493767776722168, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 0, ""ih_rank"": 64, ""ih_symmetric"": true, ""nhead"": 4, ""tf_dropout"": 0.3790402242638633, ""tf_layers"": 1}}"
8,PRUNED,0.7915849448941804,2026-05-30T16:05:51.837853,2026-05-30T18:59:18.861590,10407.023737,"{""batch_size"": 64, ""cross_distill_weight"": 0.05, ""dim_ff_multiplier"": 2, ""distill_weight"": 0.0011508091884351404, ""ema_decay"": 0.9814785446321095, ""gnn_dropout"": 0.2888200280925055, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.007543619025196023, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 1.4955720632907434e-05, ""tf_dropout"": 0.05575739545190235, ""tf_layers"": 3, ""transformer_lr"": 0.0001763313449846703, ""weight_decay"": 3.6858933043427426e-06}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.05, ""distill_weight"": 0.0011508091884351404, ""ema_decay"": 0.9814785446321095, ""gcn_pretrain_epochs"": 40, ""lr"": 0.0001763313449846703, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 1.4955720632907434e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.0001763313449846703, ""weight_decay"": 3.6858933043427426e-06}, ""model_kwargs"": {""dim_ff"": 384, ""gnn_dropout"": 0.2888200280925055, ""gnn_hidden"": 192, ""gnn_layers"": 3, ""ih_assignment_mode"": ""hard"", ""ih_diversity_weight"": 0.007543619025196023, ""ih_num_prototypes"": 12, ""ih_proj_dim"": 256, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.05575739545190235, ""tf_layers"": 3}}"
9,PRUNED,0.773340184000083,2026-05-30T18:59:18.998322,2026-05-30T21:54:42.972185,10523.973863,"{""batch_size"": 64, ""cross_distill_weight"": 0.1, ""dim_ff_multiplier"": 4, ""distill_weight"": 0.09445685701746812, ""ema_decay"": 0.9956071089545747, ""gnn_dropout"": 0.1881060106551834, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.02633323517987836, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""pretrain_lr"": 6.985728346367651e-05, ""tf_dropout"": 0.08777718430237136, ""tf_layers"": 1, ""transformer_lr"": 0.002841851237520151, ""weight_decay"": 0.000500820397098997}","{""hparams"": {""batch_size"": 64, ""cross_distill_weight"": 0.1, ""distill_weight"": 0.09445685701746812, ""ema_decay"": 0.9956071089545747, ""gcn_pretrain_epochs"": 40, ""lr"": 0.002841851237520151, ""num_epochs"": 60, ""patience"": 12, ""pretrain_lr"": 6.985728346367651e-05, ""transformer_epochs"": 60, ""transformer_lr"": 0.002841851237520151, ""weight_decay"": 0.000500820397098997}, ""model_kwargs"": {""dim_ff"": 768, ""gnn_dropout"": 0.1881060106551834, ""gnn_hidden"": 192, ""gnn_layers"": 4, ""ih_assignment_mode"": ""sparse"", ""ih_diversity_weight"": 0.02633323517987836, ""ih_num_prototypes"": 6, ""ih_proj_dim"": 0, ""ih_rank"": 16, ""ih_symmetric"": true, ""nhead"": 8, ""tf_dropout"": 0.08777718430237136, ""tf_layers"": 1}}"
